Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
6402,0, ,0, ,0,0,0,24.88,30.5,27.25,30.25
01:22.0,0, ,0, ,0,0,0,24.88,30.75,27.25,30.25
01:28.0,0, ,0, ,0,0,0,24.88,30.75,27.25,30.25
01:33.0,0, ,0, ,0,0,0,24.81,30.5,27.19,30.25
01:38.0,0, ,0, ,0,0,0,24.81,30.75,27.06,30.25
01:43.0,0, ,0, ,0,0,0,24.81,30.75,27.06,30.25
01:48.0,43.786327, N,70.122993, W,32.13,68.01,1,24.81,30.5,27.06,30.25
01:53.0,43.786484, N,70.122459, W,32.14,67.14,1,24.81,30.5,26.88,30.25
01:58.0,43.786659, N,70.121948, W,32.91,63.76,1,24.75,30.75,26.75,30
02:04.0,43.786915, N,70.121368, W,33.39,55.93,1,24.75,30.75,26.75,30.25
02:09.0,43.787174, N,70.120926, W,32.35,49.34,1,24.75,30.5,26.63,30.25
02:14.0,43.787373, N,70.120605, W,21.57,50.7,1,24.75,30.5,26.56,30
02:19.0,43.787472, N,70.120422, W,8.38,55.6,1,24.75,30.5,26.56,30
02:24.0,43.787537, N,70.120293, W,8.99,57.97,1,24.88,30.75,26.56,30.25
02:29.0,43.78759, N,70.120178, W,7.95,57.19,1,25,30.75,26.56,30.25
02:34.0,43.78764, N,70.120079, W,6.97,57.71,1,25.06,30.5,26.56,30
02:39.0,43.787693, N,70.11998, W,6.7,56.51,1,25.19,30.5,26.56,30.25
02:45.0,43.787754, N,70.119873, W,7.13,52.41,1,25.31,30.5,26.63,30.25
02:50.0,43.787819, N,70.119736, W,10.02,57.22,1,25.38,30.5,26.69,30.25
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
26:04.0,43.776115, N,70.10199, W,37.07,71.59,1,26.06,28,26.94,28.25
26:09.0,43.776257, N,70.101402, W,34.81,72.04,1,26.06,28,26.94,28.25
26:15.0,43.776421, N,70.100716, W,34.96,70.96,1,26,28,27,28.25
26:20.0,43.776546, N,70.100174, W,32.62,74.03,1,25.81,28,27.19,28.5
26:25.0,43.776649, N,70.099625, W,32.58,74.9,1,25.75,28,27.25,28.25
26:30.0,43.776733, N,70.099075, W,32.13,79.79,1,25.69,27.75,27.31,28.25
26:35.0,43.776768, N,70.098526, W,31.5,87.57,1,25.69,28,27.44,28.25
26:40.0,43.776768, N,70.097977, W,31.69,91.68,1,25.63,28,27.5,28.25
26:45.0,43.776737, N,70.097435, W,31.17,95.5,1,25.63,28,27.56,28
26:50.0,43.776695, N,70.096916, W,29.96,96.25,1,25.63,28,27.69,28.25
26:55.0,43.776653, N,70.096397, W,30.14,96.56,1,25.56,27.75,27.69,28.25
27:01.0,43.776608, N,70.09584, W,22.91,96.55,1,25.56,28,27.69,28
27:06.0,43.776588, N,70.095627, W,8.04,97.48,1,25.56,28,27.88,28
27:11.0,43.776581, N,70.095482, W,7.76,96.17,1,25.56,28,27.94,28.25
27:16.0,43.776585, N,70.095367, W,6.39,79.18,1,25.56,28,28,28.25
27:21.0,43.776596, N,70.095284, W,4.22,75.31,1,25.56,28,28,28.25
27:26.0,43.776615, N,70.095215, W,3.88,76.95,1,25.56,27.75,28,28.25
27:32.0,43.776638, N,70.095154, W,2.98,57.33,1,25.56,27.75,28.06,28.25
27:37.0,43.776661, N,70.095116, W,2.93,57.33,1,25.5,28,28.06,28.25
27:42.0,43.77668, N,70.095078, W,2.16,57.33,1,25.44,28,28.19,28.25
27:47.0,43.776699, N,70.095055, W,2.42,57.33,1,25.31,28,28.25,28.25
27:52.0,43.776718, N,70.095032, W,1.8,57.33,1,25.25,28,28.44,28.25
27:57.0,43.776733, N,70.095016, W,1.67,57.33,1,25.19,28,28.81,28.5
28:02.0,43.776741, N,70.095016, W,1.95,57.33,1,25.19,28,28.94,28.25
28:07.0,43.776752, N,70.095009, W,0,57.33,1,25.19,28,29,28.25
28:13.0,43.776752, N,70.095009, W,0,57.33,1,25.31,27.75,29,28.25
28:18.0,43.776756, N,70.095001, W,0,57.33,1,25.44,27.75,28.94,28.25
28:23.0,43.776756, N,70.095001, W,0,57.33,1,25.63,28,28.88,28.25
28:28.0,43.77676, N,70.095001, W,0,57.33,1,25.63,27.75,28.69,28.25
28:33.0,43.776764, N,70.095001, W,0,57.33,1,25.75,27.75,28.63,28
28:38.0,43.776772, N,70.095001, W,0,57.33,1,25.75,28,28.69,28.25
28:43.0,43.776779, N,70.095001, W,0,57.33,1,25.75,27.75,28.69,28.25
28:48.0,43.776787, N,70.094994, W,0,57.33,1,25.75,27.75,28.81,28.25
